concept:bird:loons	bird : loons
concept:agriculturalproduct:bell_pepper	agricultural product : bell pepper
concept:visualizablething:full_days	visualizable thing : full days
concept:plant:daisies	plant : daisies
concept:artery:tubes	artery : tubes
concept:stateorprovince:bielsko	state or province : bielsko
concept:male:malcolm_walker	male : malcolm walker
concept:muscle:function	muscle : function
concept:sportsteam:chicago_blackhawks	sports team : chicago blackhawks
concept:weatherphenomenon:view	weather phenomenon : view
concept:profession:attorneys	profession : attorneys
concept:politicianus:rudy_guiliani	politician us : rudy guiliani
concept:chemical:sludge	chemical : sludge
concept:publication:ground_water	publication : ground water
concept:stateorprovince:auburn	state or province : auburn
concept:visualizablething:commercial_water	visualizable thing : commercial water
concept:animal:larger_pets	animal : larger pets
concept:sportsteam:wisconsin_milwaukee_panthers	sports team : wisconsin milwaukee panthers
concept:river:oostanaula	river : oostanaula
concept:city:westminster	city : westminster
concept:arthropod:dangerous_spiders	arthropod : dangerous spiders
concept:coach:bill_curry	coach : bill curry
concept:city:help	city : help
concept:website:developer	website : developer
concept:profession:services	profession : services
concept:disease:cataracts	disease : cataracts
concept:shoppingmall:marketplace	shopping mall : marketplace
concept:city:rosemead	city : rosemead
concept:mammal:seals	mammal : seals
concept:chemical:nitrogen_oxides	chemical : nitrogen oxides
concept:governmentorganization:department	government organization : department
concept:clothing:white	clothing : white
concept:city:tokyo	city : tokyo
concept:geopoliticalorganization:grant	geopolitical organization : grant
concept:city:luttrell	city : luttrell
concept:insect:bug	insect : bug
concept:visualizablescene:fort_myers	visualizable scene : fort myers
concept:bird:dove	bird : dove
concept:river:yamuna	river : yamuna
concept:sportsteam:new_york_jets	sports team : new york jets
concept:city:farmington	city : farmington
concept:geopoliticallocation:hosting	geopolitical location : hosting
concept:animal:large_animals	animal : large animals
concept:condiment:hollandaise_sauce	condiment : hollandaise sauce
concept:city:bozeman	city : bozeman
concept:sportsteam:elon_phoenix	sports team : elon phoenix
concept:fruit:black_cherries	fruit : black cherries
concept:insect:whitefly	insect : whitefly
concept:food:orange_red_berries	food : orange red berries
concept:visualizablething:baguette	visualizable thing : baguette
concept:chemical:waste_products	chemical : waste products
concept:geopoliticallocation:hamilton	geopolitical location : hamilton
concept:landscapefeatures:green_valleys	landscape features : green valleys
concept:country:west_indies	country : west indies
concept:city:bossier_city	city : bossier city
concept:plant:redwoods	plant : redwoods
concept:book:side	book : side
concept:televisionstation:koac_tv	television station : koac tv
concept:blog:national_geographic	blog : national geographic
concept:televisionstation:ktiv	television station : ktiv
concept:chemical:composition	chemical : composition
concept:sportsteam:florida_gators	sports team : florida gators
concept:coach:kiffin	coach : kiffin
concept:professionalorganization:apple_inc	professional organization : apple inc
concept:grain:content	grain : content
concept:disease:ocd_	disease : ocd 
concept:academicfield:news	academic field : news
concept:personus:chien_ming_wang	personus : chien ming wang
concept:braintissue:pineal_gland	brain tissue : pineal gland
concept:charactertrait:institutions	character trait : institutions
concept:city:san_juan_capistrano	city : san juan capistrano
concept:county:louisiana_state_university	county : louisiana state university
concept:coach:stan_brock	coach : stan brock
concept:weapon:course	weapon : course
concept:coach:al_jefferson	coach : al jefferson
concept:plant:potatoes	plant : potatoes
concept:coach:jerry_sloan	coach : jerry sloan
concept:governmentorganization:excite	government organization : excite
concept:chemical:purity	chemical : purity
concept:company:economist001	company : economist001
concept:disease:metabolic_syndrome	disease : metabolic syndrome
concept:fruit:soyabean	fruit : soyabean
concept:dateliteral:n1909	date literal : n1909
concept:vegetable:rice	vegetable : rice
concept:city:pleasanton	city : pleasanton
concept:retailstore:play	retail store : play
concept:sportsteam:chicago_cubs	sports team : chicago cubs
concept:coach:steve_spurrier	coach : steve spurrier
concept:sportsgame:n1_2_years	sportsgame : n1 2 years
concept:bakedgood:batter	baked good : batter
concept:politicsissue:innovative_water	politics issue : innovative water
concept:geopoliticallocation:bolton	geopolitical location : bolton
concept:sport:peoria	sport : peoria
concept:profession:trial_attorneys	profession : trial attorneys
concept:country:laos_people_s_democratic_republic	country : laos people s democratic republic
concept:website:panoramio	website : panoramio
concept:company:good_morning_america	company : good morning america
concept:plant:juniper_trees	plant : juniper trees
concept:newspaper:salon_com	newspaper : salon com
concept:mammal:domesticated_animals	mammal : domesticated animals
concept:bank:ups_ground_shipping	bank : ups ground shipping
concept:zoo:animals	zoo : animals
concept:visualizablescene:macau	visualizable scene : macau
concept:city:idledale	city : idledale
concept:newspaper:ny_times	newspaper : ny times
concept:coach:danny_ford	coach : danny ford
concept:city:clearlake	city : clearlake
concept:highway:right	highway : right
concept:geopoliticallocation:lsu	geopolitical location : lsu
concept:website:youtube_last_year	website : youtube last year
concept:currency:pound	currency : pound
concept:plant:birch	plant : birch
concept:plant:honey_locust	plant : honey locust
concept:sportsteam:minnesota_state_mavericks	sports team : minnesota state mavericks
concept:governmentorganization:red_cross	government organization : red cross
concept:emotion:hope	emotion : hope
concept:televisionstation:wmah_tv	television station : wmah tv
concept:geopoliticallocation:central_eastern_europe	geopolitical location : central eastern europe
concept:disease:brain_injury	disease : brain injury
concept:disease:brain_tumours	disease : brain tumours
concept:buildingmaterial:middle_east	building material : middle east
concept:mammal:miniature_donkeys	mammal : miniature donkeys
concept:currency:rand	currency : rand
concept:politician:sam_katz	politician : sam katz
concept:mammal:rodents	mammal : rodents
concept:university:schools	university : schools
concept:city:mariposa	city : mariposa
concept:movie:recluse	movie : recluse
concept:wallitem:browser_window	wallitem : browser window
concept:stateorprovince:ontario	state or province : ontario
concept:automobilemaker:jeff_bezos	automobile maker : jeff bezos
concept:website:kttv	website : kttv
concept:visualizablething:effective_water	visualizable thing : effective water
concept:landscapefeatures:battle	landscape features : battle
concept:coach:paul_rhoads	coach : paul rhoads
concept:vertebrate:purebred_dogs	vertebrate : purebred dogs
concept:fish:wahoo	fish : wahoo
concept:city:palm_desert	city : palm desert
concept:river:south_platte	river : south platte
concept:transportation:plane	transportation : plane
concept:sportsteam:ravens	sports team : ravens
concept:city:main_page	city : main page
concept:condiment:pork_chop	condiment : pork chop
concept:hallwayitem:window	hallway item : window
concept:televisionstation:kvie	television station : kvie
concept:stadiumoreventvenue:ralph_wilson_stadium	stadium or event venue : ralph wilson stadium
concept:plant:maple	plant : maple
concept:chemical:organic_compound	chemical : organic compound
concept:city:cohasset	city : cohasset
concept:vertebrate:wildebeest	vertebrate : wildebeest
concept:academicfield:delhi	academic field : delhi
concept:planet:heaven	planet : heaven
concept:scientificterm:technical_information	scientific term : technical information
concept:visualizablething:alcohols	visualizable thing : alcohols
concept:braintissue:skeletal_muscle	brain tissue : skeletal muscle
concept:arthropod:spiders	arthropod : spiders
concept:televisionstation:koti	television station : koti
concept:cardgame:understanding	card game : understanding
concept:stadiumoreventvenue:santiago_bernab	stadium or event venue : santiago bernab
concept:blog:george_w__bush	blog : george w  bush
concept:televisionstation:kalamazoo	television station : kalamazoo
concept:landscapefeatures:gulf	landscape features : gulf
concept:city:chicago	city : chicago
concept:convention:impact	convention : impact
concept:publication:wpbf_tv	publication : wpbf tv
concept:bodypart:digestive_organs	bodypart : digestive organs
concept:chemical:antioxidant	chemical : antioxidant
concept:candy:john	candy : john
concept:televisionstation:wvut	television station : wvut
concept:visualizablething:lime	visualizable thing : lime
concept:blog:manager	blog : manager
concept:beverage:liqueur	beverage : liqueur
concept:year:n1840	year : n1840
concept:date:n1927	date : n1927
concept:televisionstation:wsmv_tv	television station : wsmv tv
concept:bodypart:tissue001	bodypart : tissue001
concept:politicianus:form	politician us : form
concept:sportsteam:tampa_rays	sports team : tampa rays
concept:emotion:passion	emotion : passion
concept:emotion:gratitude	emotion : gratitude
concept:city:east_rockaway	city : east rockaway
concept:river:androscoggin	river : androscoggin
concept:agriculturalproduct:millet	agricultural product : millet
concept:wine:pinot_gris	wine : pinot gris
concept:sportsteam:timberwolves	sports team : timberwolves
concept:trail:candidate	trail : candidate
concept:food:plates	food : plates
concept:vegetable:parsley	vegetable : parsley
concept:professionalorganization:federal	professional organization : federal
concept:televisionstation:wfiq	television station : wfiq
concept:coach:chris_petersen	coach : chris petersen
concept:academicfield:consulting	academic field : consulting
concept:governmentorganization:u_s_department	government organization : u s department
concept:chemical:nickel	chemical : nickel
concept:person:rick_majerus	person : rick majerus
concept:bridge:world	bridge : world
concept:city:mckinney	city : mckinney
concept:city:resources	city : resources
concept:personcanada:post	person canada : post
concept:sportsgame:n1999_world_series	sportsgame : n1999 world series
